,5,10,15,20,25,30,35,40,45,50
5,9,63,53,9,63,0,0,0,0,0
10,17,137,802,536,1552,1416,1679,1874,1784,1847
15,15,4110,8207,33301,43021,42274,37036,41488,37908,53293
20,40,2188,524435,528402,1052698,1573280,1189399,1576486,1083167,1576294
