,5,10,15,20,25,30,35,40,45,50
5,7,59,32,6,14,0,0,0,0,0
10,10,79,528,532,1184,634,1164,1761,1336,715
15,13,1036,6155,6158,32784,18492,33809,37234,33680,43173
20,17,2065,131091,264210,1050643,1048611,1049874,1475103,1049145,1089812
