,5,10,15,20,25,30,35,40,45,50
5,3,5,5,0,0,0,0,0,0,0
10,4,9,12,14,11,18,19,10,11,17
15,4,12,15,15,18,24,17,47,48,18
20,5,13,19,20,30,66,22,21,36,45
